rxn name,EC,Substrate ,kcat value,Organism kcat,equilibrium constant,comment
12DGR120tipp,,12dgr120[p],NaN,,,
12DGR140tipp,,12dgr140[p],NaN,,,
12DGR141tipp,,12dgr141[p],NaN,,,
12DGR160tipp,,12dgr160[p],NaN,,,
12DGR161tipp,,12dgr161[p],NaN,,,
12DGR180tipp,,12dgr180[p],NaN,,,
12DGR181tipp,,12dgr181[p],NaN,,,
12PPDRtex,,12ppd-R[e],NaN,,,
12PPDRtex_rev,,12ppd-R[p],NaN,,,
12PPDRtpp,,12ppd-R[p],NaN,,,
12PPDRtpp_rev,,12ppd-R[c],NaN,,,
12PPDStex,,12ppd-S[e],NaN,,,
12PPDStex_rev,,12ppd-S[p],NaN,,,
12PPDStpp,,12ppd-S[p],NaN,,,
12PPDStpp_rev,,12ppd-S[c],NaN,,,
23CAMPtex,,23camp[e],NaN,,,
23CAMPtex_rev,,23camp[p],NaN,,,
23CCMPtex,,23ccmp[e],NaN,,,
23CCMPtex_rev,,23ccmp[p],NaN,,,
23CGMPtex,,23cgmp[e],NaN,,,
23CGMPtex_rev,,23cgmp[p],NaN,,,
23CUMPtex,,23cump[e],NaN,,,
23CUMPtex_rev,,23cump[p],NaN,,,
23DAPPAtex,,23dappa[e],NaN,,,
23DAPPAtex_rev,,23dappa[p],NaN,,,
26DAHtex,,26dap-M[e],NaN,,,
26DAHtex_rev,,26dap-M[p],NaN,,,
2AGPA120tipp,,2ddecg3p[p],NaN,,,
2AGPA140tipp,,2tdecg3p[p],NaN,,,
2AGPA141tipp,,2tdec7eg3p[p],NaN,,,
2AGPA160tipp,,2hdecg3p[p],NaN,,,
2AGPA161tipp,,2hdec9eg3p[p],NaN,,,
2AGPA180tipp,,2odecg3p[p],NaN,,,
2AGPA181tipp,,2odec11eg3p[p],NaN,,,
2AGPE120tipp,,2agpe120[p],NaN,,,
2AGPE140tipp,,2agpe140[p],NaN,,,
2AGPE141tipp,,2agpe141[p],NaN,,,
2AGPE160tipp,,2agpe160[p],NaN,,,
2AGPE161tipp,,2agpe161[p],NaN,,,
2AGPE180tipp,,2agpe180[p],NaN,,,
2AGPE181tipp,,2agpe181[p],NaN,,,
2AGPEAT120,2.3.1.40,2agpe120[c]+atp[c]+ddca[c],NaN,,,
2AGPEAT140,2.3.1.40,2agpe140[c]+atp[c]+ttdca[c],NaN,,,
2AGPEAT141,2.3.1.40,2agpe141[c]+atp[c]+ttdcea[c],NaN,,,
2AGPEAT160,2.3.1.40,2agpe160[c]+atp[c]+hdca[c],NaN,,,
2AGPEAT161,2.3.1.40,2agpe161[c]+atp[c]+hdcea[c],NaN,,,
2AGPEAT180,2.3.1.40,2agpe180[c]+atp[c]+ocdca[c],NaN,,,
2AGPEAT181,2.3.1.40,2agpe181[c]+atp[c]+ocdcea[c],NaN,,,
2AGPG120tipp,,2agpg120[p],NaN,,,
2AGPG140tipp,,2agpg140[p],NaN,,,
2AGPG141tipp,,2agpg141[p],NaN,,,
2AGPG160tipp,,2agpg160[p],NaN,,,
2AGPG161tipp,,2agpg161[p],NaN,,,
2AGPG180tipp,,2agpg180[p],NaN,,,
2AGPG181tipp,,2agpg181[p],NaN,,,
2AGPGAT120,2.3.1.40,2agpg120[c]+atp[c]+ddca[c],NaN,,,
2AGPGAT140,2.3.1.40,2agpg140[c]+atp[c]+ttdca[c],NaN,,,
2AGPGAT141,2.3.1.40,2agpg141[c]+atp[c]+ttdcea[c],NaN,,,
2AGPGAT160,2.3.1.40,2agpg160[c]+atp[c]+hdca[c],NaN,,,
2AGPGAT161,2.3.1.40,2agpg161[c]+atp[c]+hdcea[c],NaN,,,
2AGPGAT180,2.3.1.40,2agpg180[c]+atp[c]+ocdca[c],NaN,,,
2AGPGAT181,2.3.1.40,2agpg181[c]+atp[c]+ocdcea[c],NaN,,,
2MAHMP,,2mahmp[c]+h2o[c],NaN,,,
34dhpactex,,34dhpac[e],NaN,,,
34dhpactex_rev,,34dhpac[p],NaN,,,
3AMACHYD,,3amac[c]+h[c]+h2o[c],NaN,,,
3AMPtex,,3amp[e],NaN,,,
3AMPtex_rev,,3amp[p],NaN,,,
3CMPtex,,3cmp[e],NaN,,,
3CMPtex_rev,,3cmp[p],NaN,,,
3GMPtex,,3gmp[e],NaN,,,
3GMPtex_rev,,3gmp[p],NaN,,,
3HAD100,4.2.1.60,3hdecACP[c],NaN,,,
3HAD120,4.2.1.61,3hddecACP[c],NaN,,,
3HAD121,4.2.1.61,3hcddec5eACP[c],NaN,,,
3HAD140,4.2.1.61,3hmrsACP[c],NaN,,,
3HAD141,4.2.1.61,3hcmrs7eACP[c],NaN,,,
3HAD160,4.2.1.61,3hpalmACP[c],NaN,,,
3HAD161,4.2.1.61,3hcpalm9eACP[c],NaN,,,
3HAD180,4.2.1.61,3hoctaACP[c],NaN,,,
3HAD181,4.2.1.61,3hcvac11eACP[c],NaN,,,
3HAD40,4.2.1.58,3haACP[c],NaN,,,
